"select_Adress","select_Rooms","select_m2","select_Price","select_Floor"
"Lāčplēša 24","2","48","131,450 €","1/6"
"Piena 4","2","45","101,025 €","2/4"
"Rūpniecības 42","1","42","450 €/mēn.","2/2"
"Rūpniecības 50","3","80","220,000 €","4/7"
"Elizabetes 22","2","49","139,500 €","4/6"
"Lāčplēša 23","3","68","45,000 €","1/6"
"Lāčplēša 48","2","56","600 €/mēn.","2/6"
"Pulkv. Brieža 3","2","48","400 €/mēn.","2/5"
"Nītaures 2","2","55","500 €/mēn.","5/5"
"Marijas 14A","2","32","77,910 €","4/6"
"Dzirnavu 83","3","123","370,000 €","2/7"
"Nītaures 1","2","51","119,000 €","2/5"
"Maskavas 48A","3","66","195,000 €","6/6"
"Ganību d. 15","3","54","89,700 €","1/6"
"Kalēju 14","3","81","1,100 €/mēn.","5/5"
"Grēcinieku 26","2","77","178,000 €","2/4"
"Brīvības 146","2","52","93,600 €","5/6"
"Avotu 56","2","39","99,000 €","2/4"
"Alunāna 9","4","112","255,000 €","1/4"
"Zvaigžņu 18","1","34","45,000 €","4/5"
"Kungu 25","3","136","350,000 €","3/6"
"Ganību d. 31B","1","35","330 €/mēn.","2/5"
"Čaka 82","2","45","490 €/mēn.","1/6"
"Brīvības 60","2","56","59,500 €","2/2"
"-","5","-","vēlos
īret","-"
"Valdemāra 24","3","80","690 €/mēn.","7/7"
"Bruņinieku 121","1","12","28,000 €","3/5"
"-","Citi","-","pērku","-"
"Martas 7","3","78","1,100 €/mēn.","4/7"
"Valdemāra 106","4","95","950 €/mēn.","3/6"
"Brīvības 158","3","80","550 €/mēn.","2/6"
"Maskavas 140","3","75","129,000 €","4/4"
"Valdemāra 106","4","95","950 €/mēn.","3/6"
"Alūksnes 1","2","51","165,000 €","3/5"
"Zvaigžņu 24","3","55","87,900 €","1/6"
"Matīsa 81A","1","33","320 €/mēn.","2/2"
"Ģertrūdes 30","4","140","215,000 €","6/6"
"Bruņinieku 93A","1","20","250 €/mēn.","2/5"
"Marijas 14","2","26","64,200 €","2/5"
"Eksporta 16","1","31","48,000 €","4/5"
"Ģertrūdes 91A","1","15","26,000 €","2/5"
"Ierēdņu 2","1","29","52,000 €","2/5"
"Brīvības 103","2","60","700 €/mēn.","6/6"
"Avotu 18","2","48","45,600 €","2/3"
"Stabu 92","2","62","400 €/mēn.","5/6"
"Blaumaņa 26","4","97","600 €/mēn.","6/6"
"Hospitāļu 28","2","62","108,000 €","5/5"
"Tallinas 41","1","35","27,000 €","1/2"
"Čaka 143","2","62","103,000 €","4/5"
"Tallinas 58a","3","59","68,000 €","2/4"
"Avotu 53","4","98","125,000 €","3/4"
"Čaka 123","3","57","155,900 €","2/5"
"Baznīcas 41/43","4","114","224,900 €","1/7"
"Čaka 30A","2","45","122,000 €","4/6"
"Vesetas 28","2","41","300 €/mēn.","4/6"
"Maskavas 95","2","45","35 €/dienā","4/4"
"Klijānu 6","1","30","43,800 €","5/9"
"Maskavas 11","1","24","22,000 €","1/2"
"Raiņa bulv. 3a","3","67","80 €/dienā","5/5"
"Eksporta 12","3","85","90 €/dienā","6/6"
"-","2","-","pērku","-"
"Hospitāļu 45a","1","29","56,500 €","2/5"
"Čaka 110","2","54","165 €/mēn.","4/5"
"-","1","-","pērku","-"
"Puškina 1","3","75","40 €/dienā","1/4"
"Piena 4","2","46","101,925 €","2/4"
"Kalniņa 6","2","72","189,500 €","5/5"
"Skanstes 29а","5","325","775,000 €","23/23"
"Strēlnieku 13","4","104","139,000 €","2/5"
"Ganu 6","3","86","130,800 €","1/5"
"Lāčplēša 35","5","109","155,689 €","1/5"
"Kazarmu 7","2","62","153,000 €","4/4"
"Gogoļa 13","4","114","500 €/mēn.","5/5"
"Ieroču 10","4","83","158,000 €","6/6"
"Raiņa bulv. 3","2","77","152,000 €","5/6"
"Alūksnes 1","2","51","650 €/mēn.","3/6"
"Tallinas 35","2","48","330 €/mēn.","2/5"
"Valdemāra 41a","2","43","190,000 €","4/7"
"Ieroču 2","1","29","280 €/mēn.","3/4"
"Barona 21","1","32","450 €/mēn.","3/5"
"Pededzes 3","2","46","113,000 €","2/4"
"Antonijas 17A","3","86","2,200 €/mēn.","6/6"
"Avotu 5","4","88","192,720 €","5/6"
"Zvaigžņu 18","1","33","45,000 €","4/5"
"Duntes 28","2","44","85,000 €","2/16"
"Kalniņa 1","1","37","95,777 €","1/5"
"Elizabetes 31а","Citi","203","1,600 €/mēn.","1/5"
"Dzirnavu 6","2","49","149,000 €","4/4"
"Maskavas 39A","2","50","280 €/mēn.","3/4"
"Lāčplēša 70","3","87","550 €/mēn.","5/6"
"Kalniņa 6","3","88","195,000 €","3/5"
"Duntes 52","4","103","135,000 €","2/5"
"Tērbatas 26a","2","28","550 €/mēn.","2/5"
"Raiņa bulv. 31","1","30","30 €/dienā","6/6"
"Maskavas 95","2","50","40 €/dienā","4/4"
"Maskavas 53","2","60","69,000 €","3/5"
"Pētersalas 19","3","60","400 €/mēn.","3/5"
"Vesetas 30","2","42","350 €/mēn.","6/6"
"Jēkaba 24","3","92","800 €/mēn.","4/5"
"Gogoļa 11","3","96","500 €/mēn.","2/1"
"J. Daliņa 8","5","200","600,000 €","20/24"
"Ādmiņu 11b","3","77","90,000 €","1/4"
"Republikas laukums..","3","109","200,000 €","5/9"
"Čaka 49","4","110","1,100 €/mēn.","5/5"
"Blaumaņa 29","5","144","243,000 €","5/6"
"Bruņinieku 85","1","21","44,100 €","3/3"
"Čaka 63","2","66","600 €/mēn.","6/6"
"Čaka 33","2","44","445 €/mēn.","3/5"
"Merķeļa 8","2","57","97,000 €","4/6"
"Čaka 123","2","52","141,600 €","2/5"
"Čaka 123","3","63","185,850 €","2/5"
"Stabu 19","3","79","600 €/mēn.","4/6"
"Rūpniecības 34","5","157","1,600 €/mēn.","3/6"
"Alūksnes 5","2","54","115,000 €","5/5"
"Čaka 26","3","80","1,200 €/mēn.","5/7"
"Maskavas 27","2","43","74,000 €","4/6"
"Brīvības 134","2","52","81,000 €","2/5"
"Alūksnes 1","2","51","165,000 €","3/5"
"Vīlandes 12","2","62","700 €/mēn.","2/5"
"Čaka 33","1","18","360 €/mēn.","6/7"
"Artilērijas 71","4","103","180,000 €","3/4"
"Dārzaugļu 1","2","63","95,000 €","2/5"
"Pētersalas 7","3","94","95,000 €","1/1"
"Ausekļa 3","3","60","125,000 €","1/5"
"Ģertrūdes 129","2","37","50 €/dienā","4/5"
"Lāčplēša 24","2","56","1,000 €/mēn.","5/6"
"Ģertrūdes 129","1","14","35 €/dienā","1/5"
"Ģertrūdes 129","2","37","50 €/dienā","3/5"
"Ģertrūdes 91a","1","18","220 €/mēn.","4/5"
"Ģertrūdes 67","4","100","219,000 €","3/5"
"Valmieras 28","Citi","357","510,000 €","1/1"
"Kalpaka bulv. 10","5","126","1,500 €/mēn.","5/5"
"Eksporta 12","1","39","450 €/mēn.","5/6"
"Valdemāra 147 k3","3","72","670 €/mēn.","3/5"
"Valdemāra 129","3","79","129,000 €","2/5"
"Avotu 22","3","104","150 €/dienā","5/5"
"Bruņinieku 104","2","38","43,000 €","1/5"
"Valmieras 30","1","20","180 €/mēn.","1/2"
"Miera 78","2","57","550 €/mēn.","3/7"
"Brīvības 103","3","74","165,000 €","3/6"
